***********************************
You have loaded a Miniforge3 module
***********************************
---------------------------------------------------------------------------------------------------
NOTE: NSC strongly advices against placing 'mamba activate' (or 'conda
activate', with or without
      arguments) or conda initialize commands in your shell initialization
files, (e.g. '.bashrc' or '.bash_profile') since
      this severely alters the environment for running software in ways that
cause unpredictable
      issues that can be difficult to diagnose.
---------------------------------------------------------------------------------------------------

testar
T1 files: 71, T2 files: 71, T2 LR files: 71
71
Train patches: 49, Val patches: 11, Test patches: 11
Number of training batches: 3675
Network initialized
Number of epochs: 500
Using: cuda (SLURM GPUs: 1)
Starting training...
Epoch 298/500, Loss: 0.0002
Epoch 299/500, Loss: 0.0002
Epoch 300/500, Loss: 0.0002
Epoch 301/500, Loss: 0.0002
Epoch 302/500, Loss: 0.0002
Epoch 303/500, Loss: 0.0002
Epoch 304/500, Loss: 0.0002
Epoch 305/500, Loss: 0.0002
Epoch 306/500, Loss: 0.0002
Epoch 307/500, Loss: 0.0002
Epoch 308/500, Loss: 0.0002
Epoch 309/500, Loss: 0.0002
Epoch 310/500, Loss: 0.0002
Epoch 311/500, Loss: 0.0002
Epoch 312/500, Loss: 0.0002
Epoch 313/500, Loss: 0.0002
Epoch 314/500, Loss: 0.0002
Epoch 315/500, Loss: 0.0002
Epoch 316/500, Loss: 0.0002
Epoch 317/500, Loss: 0.0002
Epoch 318/500, Loss: 0.0002
Epoch 319/500, Loss: 0.0002
Epoch 320/500, Loss: 0.0002
Epoch 321/500, Loss: 0.0002
Epoch 322/500, Loss: 0.0002
Epoch 323/500, Loss: 0.0002
Epoch 324/500, Loss: 0.0002
Epoch 325/500, Loss: 0.0002
Epoch 326/500, Loss: 0.0002
Epoch 327/500, Loss: 0.0002
Epoch 328/500, Loss: 0.0002
Epoch 329/500, Loss: 0.0002
Epoch 330/500, Loss: 0.0002
Epoch 331/500, Loss: 0.0002
Epoch 332/500, Loss: 0.0002
Epoch 333/500, Loss: 0.0002
Epoch 334/500, Loss: 0.0002
Epoch 335/500, Loss: 0.0002
Epoch 336/500, Loss: 0.0002
Epoch 337/500, Loss: 0.0002
Epoch 338/500, Loss: 0.0002
Epoch 339/500, Loss: 0.0002
Epoch 340/500, Loss: 0.0002
Epoch 341/500, Loss: 0.0002
Epoch 342/500, Loss: 0.0002
Epoch 343/500, Loss: 0.0002
Epoch 344/500, Loss: 0.0002
Epoch 345/500, Loss: 0.0002
Epoch 346/500, Loss: 0.0002
Epoch 347/500, Loss: 0.0002
Epoch 348/500, Loss: 0.0002
Epoch 349/500, Loss: 0.0002
Epoch 350/500, Loss: 0.0002
Epoch 351/500, Loss: 0.0002
Epoch 352/500, Loss: 0.0002
Epoch 353/500, Loss: 0.0002
Epoch 354/500, Loss: 0.0002
Epoch 355/500, Loss: 0.0002
Epoch 356/500, Loss: 0.0002
Epoch 357/500, Loss: 0.0002
Epoch 358/500, Loss: 0.0002
Epoch 359/500, Loss: 0.0002
Epoch 360/500, Loss: 0.0002
Epoch 361/500, Loss: 0.0002
Epoch 362/500, Loss: 0.0002
Epoch 363/500, Loss: 0.0002
Epoch 364/500, Loss: 0.0002
Epoch 365/500, Loss: 0.0002
Epoch 366/500, Loss: 0.0002
Epoch 367/500, Loss: 0.0002
Epoch 368/500, Loss: 0.0002
Epoch 369/500, Loss: 0.0002
Epoch 370/500, Loss: 0.0002
Epoch 371/500, Loss: 0.0002
Epoch 372/500, Loss: 0.0002
Epoch 373/500, Loss: 0.0002
Epoch 374/500, Loss: 0.0002
Epoch 375/500, Loss: 0.0002
Epoch 376/500, Loss: 0.0002
Epoch 377/500, Loss: 0.0002
Epoch 378/500, Loss: 0.0002
